JobID|JobName|State|ElapsedRaw|AllocCPUS|ConsumedEnergyRaw
833202|Madagascar_Composite_A|COMPLETED|85|20|21527
833253|Madagascar_Composite_A|COMPLETED|63|20|17005
833281|Madagascar_Composite_A|COMPLETED|33|20|8926
833537|Madagascar_Composite_A|COMPLETED|67|20|15109
835976|crossval_africa|COMPLETED|12|80|2266
836016|crossval_africa|COMPLETED|97|80|30764
836090|crossval_africa|TIMEOUT|7210|80|2458733
839245|tempov_malpolon_earth_engine|CANCELLED by 304540|258|20|127392
839319|tempov_malpolon_earth_engine|CANCELLED by 304540|1338|20|702574
840056|tempov_malpolon_earth_engine|COMPLETED|47|20|23735
840431|tempov_malpolon_earth_engine|CANCELLED by 304540|1264|20|683932
855823|crossval_africa|COMPLETED|1587|80|559420
863772|crossval_africa|COMPLETED|1225|80|394129
864446|crossval_africa|COMPLETED|25|80|4639
864456|crossval_africa|COMPLETED|3575|80|1262990
864543|crossval_africa|COMPLETED|25|80|4577
866383|nofreeze|COMPLETED|35|20|16656
866504|crossval_africa|COMPLETED|21|80|4272
866973|tempov_malpolon_earth_engine|CANCELLED by 304540|1407|20|666267
868101|nofreeze|COMPLETED|32|20|14888
868643|nofreeze|COMPLETED|9|20|4326
868943|nofreeze|COMPLETED|7|20|3405
868973|nofreeze|COMPLETED|8|20|4364
869476|nofreeze|COMPLETED|7|20|3476
869519|nofreeze|COMPLETED|40|20|20772
869915|nofreeze|COMPLETED|1968|20|937902
870610|nofreeze|COMPLETED|1941|20|964951
873285|nofreeze|COMPLETED|45|20|22170
873758|nofreeze|COMPLETED|1969|20|956707
875538|nofreeze|COMPLETED|21559|20|11084014
894641|nofreeze|CANCELLED by 304540|1|20|
894650|nofreeze|COMPLETED|7|20|3092
894742|nofreeze|COMPLETED|5|20|2294
894815|tempov_malpolon_earth_engine|TIMEOUT|7227|20|
896287|Madagascar_Composite_Canonical-HPO|COMPLETED|31|20|9957
896601|Madagascar_Composite_Canonical-HPO|COMPLETED|28|20|7967
897710|Madagascar_Composite_Canonical-HPO|CANCELLED by 304540|314|20|77688
898076|Madagascar_Composite_Canonical-HPO|COMPLETED|3404|20|1026289
898314|Madagascar_Seasonal_Canonical-HPO|COMPLETED|111|20|28952
898547|Madagascar_Seasonal_Canonical-HPO|COMPLETED|4552|20|1308970
910992|tempov_malpolon_earth_engine|COMPLETED|2063|20|978167
911141|tempov_malpolon_earth_engine|COMPLETED|1991|20|982121
911619|Madagascar_Seasonal_Canonical_CV-0|COMPLETED|67|20|18759
911815|Madagascar_Seasonal_Canonical_CV-0|COMPLETED|452|20|132387
911947|Madagascar_Seasonal_Canonical_CV-1|COMPLETED|440|20|121999
911951|Madagascar_Seasonal_Canonical_CV-2|COMPLETED|359|20|108678
911954|Madagascar_Seasonal_Canonical_CV-3|COMPLETED|451|20|130115
911955|Madagascar_Seasonal_Canonical_CV-4|COMPLETED|310|20|77785
913509|Madagascar_Seasonal_Canonical-INF|COMPLETED|76|20|20374
914103|Madagascar_Seasonal_Canonical-INF|COMPLETED|161|20|39891
914528|plot_results|COMPLETED|18|80|3377
915172|Madagascar_Seasonal_Canonical-INF|COMPLETED|189|20|36565
915623|nofreeze|COMPLETED|12|20|4851
916105|nofreeze|CANCELLED by 304540|0|0|0
916142|nofreeze|COMPLETED|11|20|5263
916221|nofreeze|RUNNING|68921|20|
916317|nofreeze|COMPLETED|7|20|2157
916502|Madagascar_Seasonal_Canonical-INF|COMPLETED|194|20|59923
916521|nofreeze|COMPLETED|12|20|4888
916829|nofreeze|COMPLETED|12|20|4594
917726|build_cnn_seasonal_report|COMPLETED|12|20|3011
919214|crossval_africa|COMPLETED|26|80|5315
919745|crossval_africa|COMPLETED|29|80|5774
920221|Africa_Composite_Canonical_CV-0|COMPLETED|73|20|16952
920272|Madagascar_Composite_Canonical_CV-0|CANCELLED by 304540|823|20|252981
921561|Africa_Seasonal_Canonical_CV-0|COMPLETED|90|20|19825
921888|Madagascar_Composite_Canonical_CV-0|COMPLETED|240|20|73322
922583|create_shards|COMPLETED|6|20|1852
923242|create_shards|COMPLETED|8|20|2163
923372|create_shards|COMPLETED|8|20|2587
923417|create_shards|COMPLETED|4|20|1326
949681|Madagascar_Composite_Canonical_CV-0|COMPLETED|1376|20|363279
950250|crossval_africa|COMPLETED|26|80|5262
950432|crossval_africa|COMPLETED|607|80|231711
951527|crossval_africa|COMPLETED|1268|80|486009
951835|build_cnn_composite_report|COMPLETED|15|20|2643
953644|Madagascar_Composite_Pretrain_Canonical_CV|COMPLETED|807|20|191654
956139|build_cnn_composite_pretrain_report|COMPLETED|11|20|2714
