JobID|JobName|Start|End|State|ElapsedRaw|AllocCPUS|ConsumedEnergyRaw
833202|Madagascar_Composite_A|2026-08-11T09:00:55|2026-08-11T09:02:20|COMPLETED|85|20|21527
833253|Madagascar_Composite_A|2026-08-11T09:08:55|2026-08-11T09:09:58|COMPLETED|63|20|17005
833281|Madagascar_Composite_A|2026-08-11T09:12:10|2026-08-11T09:12:43|COMPLETED|33|20|8926
833537|Madagascar_Composite_A|2026-08-11T09:19:16|2026-08-11T09:20:23|COMPLETED|67|20|15109
835976|crossval_africa|2026-08-11T11:29:38|2026-08-11T11:29:50|COMPLETED|12|80|2266
836016|crossval_africa|2026-08-11T11:32:38|2026-08-11T11:34:15|COMPLETED|97|80|30764
836090|crossval_africa|2026-08-11T11:38:38|2026-08-11T13:38:48|TIMEOUT|7210|80|2458733
839245|tempov_malpolon_earth_engine|2026-08-11T14:26:59|2026-08-11T14:31:17|CANCELLED by 304540|258|20|127392
839319|tempov_malpolon_earth_engine|2026-08-11T14:31:48|2026-08-11T14:54:06|CANCELLED by 304540|1338|20|702574
840056|tempov_malpolon_earth_engine|2026-08-11T15:05:58|2026-08-11T15:06:45|COMPLETED|47|20|23735
840431|tempov_malpolon_earth_engine|2026-08-11T15:22:28|2026-08-11T15:43:32|CANCELLED by 304540|1264|20|683932
855823|crossval_africa|2026-08-12T10:31:51|2026-08-12T10:58:18|COMPLETED|1587|80|559420
863772|crossval_africa|2026-08-12T13:46:03|2026-08-12T14:06:28|COMPLETED|1225|80|394129
864446|crossval_africa|2026-08-12T14:15:00|2026-08-12T14:15:25|COMPLETED|25|80|4639
864456|crossval_africa|2026-08-12T14:16:13|2026-08-12T15:15:48|COMPLETED|3575|80|1262990
864543|crossval_africa|2026-08-12T14:19:13|2026-08-12T14:19:38|COMPLETED|25|80|4577
866383|nofreeze|2026-08-12T15:23:20|2026-08-12T15:23:55|COMPLETED|35|20|16656
866504|crossval_africa|2026-08-12T15:27:21|2026-08-12T15:27:42|COMPLETED|21|80|4272
866973|tempov_malpolon_earth_engine|2026-08-12T15:41:22|2026-08-12T16:04:49|CANCELLED by 304540|1407|20|666267
868101|nofreeze|2026-08-12T16:04:44|2026-08-12T16:05:16|COMPLETED|32|20|14888
868643|nofreeze|2026-08-12T16:13:04|2026-08-12T16:13:13|COMPLETED|9|20|4326
868943|nofreeze|2026-08-12T16:24:34|2026-08-12T16:24:41|COMPLETED|7|20|3405
868973|nofreeze|2026-08-12T16:27:06|2026-08-12T16:27:14|COMPLETED|8|20|4364
869476|nofreeze|2026-08-12T16:32:56|2026-08-12T16:33:03|COMPLETED|7|20|3476
869519|nofreeze|2026-08-12T16:34:46|2026-08-12T16:35:26|COMPLETED|40|20|20772
869915|nofreeze|2026-08-12T16:46:48|2026-08-12T17:19:36|COMPLETED|1968|20|937902
870610|nofreeze|2026-08-12T17:01:18|2026-08-12T17:33:39|COMPLETED|1941|20|964951
873285|nofreeze|2026-08-12T18:31:30|2026-08-12T18:32:15|COMPLETED|45|20|22170
873758|nofreeze|2026-08-12T18:58:03|2026-08-12T19:30:52|COMPLETED|1969|20|956707
875538|nofreeze|2026-08-12T20:38:59|2026-08-13T02:38:18|COMPLETED|21559|20|11084014
894641|nofreeze|2026-08-13T09:34:20|2026-08-13T09:34:21|CANCELLED by 304540|1|20|
894650|nofreeze|2026-08-13T09:34:49|2026-08-13T09:34:56|COMPLETED|7|20|3092
894742|nofreeze|2026-08-13T09:37:59|2026-08-13T09:38:04|COMPLETED|5|20|2294
894815|tempov_malpolon_earth_engine|2026-08-13T09:43:31|2026-08-13T11:43:58|TIMEOUT|7227|20|
896287|Madagascar_Composite_Canonical-HPO|2026-08-13T10:38:53|2026-08-13T10:39:24|COMPLETED|31|20|9957
896601|Madagascar_Composite_Canonical-HPO|2026-08-13T10:46:44|2026-08-13T10:47:12|COMPLETED|28|20|7967
897710|Madagascar_Composite_Canonical-HPO|2026-08-13T11:12:08|2026-08-13T11:17:22|CANCELLED by 304540|314|20|77688
898076|Madagascar_Composite_Canonical-HPO|2026-08-13T11:21:58|2026-08-13T12:18:42|COMPLETED|3404|20|1026289
898314|Madagascar_Seasonal_Canonical-HPO|2026-08-13T11:28:08|2026-08-13T11:29:59|COMPLETED|111|20|28952
898547|Madagascar_Seasonal_Canonical-HPO|2026-08-13T11:43:10|2026-08-13T12:59:02|COMPLETED|4552|20|1308970
910992|tempov_malpolon_earth_engine|2026-08-13T15:20:26|2026-08-13T15:54:49|COMPLETED|2063|20|978167
911141|tempov_malpolon_earth_engine|2026-08-13T15:22:26|2026-08-13T15:55:37|COMPLETED|1991|20|982121
911619|Madagascar_Seasonal_Canonical_CV-0|2026-08-13T15:30:26|2026-08-13T15:31:33|COMPLETED|67|20|18759
911815|Madagascar_Seasonal_Canonical_CV-0|2026-08-13T15:36:36|2026-08-13T15:44:08|COMPLETED|452|20|132387
911947|Madagascar_Seasonal_Canonical_CV-1|2026-08-13T15:42:57|2026-08-13T15:50:17|COMPLETED|440|20|121999
911951|Madagascar_Seasonal_Canonical_CV-2|2026-08-13T15:42:58|2026-08-13T15:48:57|COMPLETED|359|20|108678
911954|Madagascar_Seasonal_Canonical_CV-3|2026-08-13T15:43:06|2026-08-13T15:50:37|COMPLETED|451|20|130115
911955|Madagascar_Seasonal_Canonical_CV-4|2026-08-13T15:43:16|2026-08-13T15:48:26|COMPLETED|310|20|77785
913509|Madagascar_Seasonal_Canonical-INF|2026-08-13T16:06:48|2026-08-13T16:08:04|COMPLETED|76|20|20374
914103|Madagascar_Seasonal_Canonical-INF|2026-08-13T16:12:52|2026-08-13T16:15:33|COMPLETED|161|20|39891
914528|plot_results|2026-08-13T16:17:47|2026-08-13T16:18:05|COMPLETED|18|80|3377
915172|Madagascar_Seasonal_Canonical-INF|2026-08-13T16:22:31|2026-08-13T16:25:40|COMPLETED|189|20|36565
915623|nofreeze|2026-08-13T16:29:56|2026-08-13T16:30:08|COMPLETED|12|20|4851
916105|nofreeze|None|2026-08-13T16:38:18|CANCELLED by 304540|0|0|0
916142|nofreeze|2026-08-13T16:39:22|2026-08-13T16:39:33|COMPLETED|11|20|5263
916221|nofreeze|2026-08-13T16:42:22|Unknown|RUNNING|69429|20|
916317|nofreeze|2026-08-13T16:47:21|2026-08-13T16:47:28|COMPLETED|7|20|2157
916502|Madagascar_Seasonal_Canonical-INF|2026-08-13T16:54:53|2026-08-13T16:58:07|COMPLETED|194|20|59923
916521|nofreeze|2026-08-13T16:56:53|2026-08-13T16:57:05|COMPLETED|12|20|4888
916829|nofreeze|2026-08-13T17:09:53|2026-08-13T17:10:05|COMPLETED|12|20|4594
917726|build_cnn_seasonal_report|2026-08-13T17:21:37|2026-08-13T17:21:49|COMPLETED|12|20|3011
919214|crossval_africa|2026-08-13T17:53:56|2026-08-13T17:54:22|COMPLETED|26|80|5315
919745|crossval_africa|2026-08-13T17:59:56|2026-08-13T18:00:25|COMPLETED|29|80|5774
920221|Africa_Composite_Canonical_CV-0|2026-08-13T18:03:19|2026-08-13T18:04:32|COMPLETED|73|20|16952
920272|Madagascar_Composite_Canonical_CV-0|2026-08-13T18:05:39|2026-08-13T18:19:22|CANCELLED by 304540|823|20|252981
921561|Africa_Seasonal_Canonical_CV-0|2026-08-13T18:18:30|2026-08-13T18:20:00|COMPLETED|90|20|19825
