sample_id,fold,target,prediction,survey_year,sensor
madagascar_1997_1,0,18.980331,37.256474,1997,landsat
madagascar_1997_10,0,18.96606,35.241962,1997,landsat
madagascar_1997_11,0,13.652827,36.702904,1997,landsat
madagascar_1997_12,0,31.284912,40.43794,1997,landsat
madagascar_1997_17,0,31.946564,40.793797,1997,landsat
madagascar_1997_18,0,39.0378,42.544025,1997,landsat
madagascar_1997_20,0,31.3062,40.425724,1997,landsat
madagascar_1997_21,0,35.623993,41.07723,1997,landsat
madagascar_1997_24,0,33.028618,28.96564,1997,landsat
madagascar_1997_27,0,71.24189,39.738552,1997,landsat
madagascar_1997_28,0,46.50519,43.44608,1997,landsat
madagascar_1997_31,0,38.43896,44.836823,1997,landsat
madagascar_1997_34,0,47.430805,35.321735,1997,landsat
madagascar_1997_35,0,45.973637,42.16688,1997,landsat
madagascar_1997_37,0,44.18297,26.368212,1997,landsat
madagascar_1997_44,0,40.798077,40.281193,1997,landsat
madagascar_1997_61,0,29.832138,18.801676,1997,landsat
madagascar_1997_64,0,11.84939,14.550174,1997,landsat
madagascar_1997_78,0,12.0710335,18.518122,1997,landsat
madagascar_1997_80,0,12.378126,16.768686,1997,landsat
madagascar_1997_102,0,11.520562,16.288504,1997,landsat
madagascar_1997_105,0,10.205248,18.163858,1997,landsat
madagascar_1997_116,0,10.793936,17.527342,1997,landsat
madagascar_1997_118,0,8.714252,15.709168,1997,landsat
madagascar_1997_120,0,10.584053,17.821827,1997,landsat
madagascar_1997_121,0,12.41152,17.71108,1997,landsat
madagascar_1997_123,0,36.56632,33.178097,1997,landsat
madagascar_1997_127,0,39.515354,25.827372,1997,landsat
madagascar_1997_128,0,12.973097,17.008127,1997,landsat
madagascar_1997_129,0,22.988617,16.544949,1997,landsat
madagascar_1997_131,0,13.222382,18.219568,1997,landsat
madagascar_1997_133,0,13.465709,19.457838,1997,landsat
madagascar_1997_136,0,13.793769,18.37697,1997,landsat
madagascar_1997_139,0,11.925253,16.759384,1997,landsat
madagascar_1997_142,0,10.676536,19.059761,1997,landsat
madagascar_1997_169,0,26.906069,18.210152,1997,landsat
madagascar_1997_178,0,8.375147,16.227644,1997,landsat
madagascar_1997_181,0,9.753796,15.347718,1997,landsat
madagascar_1997_183,0,9.199491,15.111507,1997,landsat
madagascar_1997_190,0,11.245006,14.364608,1997,landsat
madagascar_1997_193,0,8.507103,20.451784,1997,landsat
madagascar_1997_198,0,30.617008,31.06491,1997,landsat
madagascar_1997_214,0,10.198196,19.246222,1997,landsat
madagascar_1997_215,0,9.465688,15.781422,1997,landsat
madagascar_1997_220,0,10.087695,18.995646,1997,landsat
madagascar_1997_226,0,12.291191,18.93841,1997,landsat
madagascar_1997_241,0,13.794421,16.729725,1997,landsat
madagascar_1997_244,0,19.067017,20.030094,1997,landsat
madagascar_1997_246,0,11.987184,19.817398,1997,landsat
madagascar_1997_247,0,12.286939,25.971935,1997,landsat
madagascar_1997_251,0,13.558306,17.531225,1997,landsat
madagascar_1997_254,0,11.580182,19.653154,1997,landsat
madagascar_1997_255,0,10.7871275,19.10621,1997,landsat
madagascar_1997_263,0,12.410274,20.10882,1997,landsat
madagascar_2008_1,0,36.965736,47.20639,2008,landsat
madagascar_2008_3,0,39.91204,55.464382,2008,landsat
madagascar_2008_5,0,44.521187,48.868114,2008,landsat
madagascar_2008_19,0,44.04438,64.709496,2008,landsat
madagascar_2008_24,0,63.461548,56.73694,2008,landsat
madagascar_2008_33,0,58.81848,45.554264,2008,landsat
madagascar_2008_37,0,64.410446,50.43597,2008,landsat
madagascar_2008_40,0,49.65921,66.70625,2008,landsat
madagascar_2008_43,0,51.834854,48.337353,2008,landsat
madagascar_2008_48,0,42.906654,41.713238,2008,landsat
madagascar_2008_53,0,70.173744,46.327812,2008,landsat
madagascar_2008_55,0,18.711454,21.571772,2008,landsat
madagascar_2008_70,0,47.639046,42.241604,2008,landsat
madagascar_2008_80,0,24.213814,35.438976,2008,landsat
madagascar_2008_81,0,29.829288,22.39797,2008,landsat
madagascar_2009_84,0,10.009084,16.923786,2009,landsat
madagascar_2009_89,0,13.331103,15.381607,2009,landsat
madagascar_2009_92,0,11.286791,18.361805,2009,landsat
madagascar_2009_99,0,16.021694,17.768362,2009,landsat
madagascar_2008_112,0,46.50493,26.311644,2008,landsat
madagascar_2008_114,0,17.388494,17.44168,2008,landsat
madagascar_2008_147,0,20.288385,17.15668,2008,landsat
madagascar_2008_148,0,15.305611,17.540009,2008,landsat
madagascar_2009_162,0,11.041789,21.129969,2009,landsat
madagascar_2009_168,0,21.877844,22.697445,2009,landsat
madagascar_2009_173,0,15.198743,22.947538,2009,landsat
madagascar_2009_200,0,4.88031,18.227652,2009,landsat
madagascar_2009_202,0,14.079452,17.354986,2009,landsat
madagascar_2009_206,0,14.281131,18.20718,2009,landsat
madagascar_2008_207,0,16.579699,17.730211,2008,landsat
madagascar_2009_217,0,17.234768,18.450544,2009,landsat
madagascar_2009_218,0,16.303873,18.010544,2009,landsat
madagascar_2009_227,0,27.33344,38.142952,2009,landsat
madagascar_2009_228,0,27.986393,29.624968,2009,landsat
madagascar_2009_230,0,20.808975,18.325289,2009,landsat
madagascar_2009_238,0,22.85566,13.972118,2009,landsat
madagascar_2009_244,0,16.059607,19.191147,2009,landsat
madagascar_2008_250,0,9.649484,20.533283,2008,landsat
madagascar_2009_251,0,22.161133,33.367283,2009,landsat
madagascar_2009_253,0,18.889008,15.601157,2009,landsat
madagascar_2009_260,0,10.81358,15.177691,2009,landsat
madagascar_2009_264,0,23.18074,15.639825,2009,landsat
madagascar_2008_270,0,12.993281,18.001287,2008,landsat
madagascar_2009_280,0,47.966805,37.820698,2009,landsat
madagascar_2009_283,0,32.61517,17.747454,2009,landsat
madagascar_2009_285,0,18.44399,17.493618,2009,landsat
madagascar_2009_299,0,11.325403,17.845842,2009,landsat
madagascar_2008_303,0,17.591473,20.485659,2008,landsat
madagascar_2008_305,0,14.564573,16.245508,2008,landsat
madagascar_2009_307,0,17.598152,19.313738,2009,landsat
madagascar_2009_315,0,13.687945,18.315554,2009,landsat
