sample_id,fold,target,prediction,survey_year,sensor
madagascar_1997_1,0,18.980331,41.728306,1997,landsat
madagascar_1997_10,0,18.96606,37.31628,1997,landsat
madagascar_1997_11,0,13.652827,33.947063,1997,landsat
madagascar_1997_12,0,31.284912,45.646362,1997,landsat
madagascar_1997_17,0,31.946564,46.065205,1997,landsat
madagascar_1997_18,0,39.0378,43.959858,1997,landsat
madagascar_1997_20,0,31.3062,41.273445,1997,landsat
madagascar_1997_21,0,35.623993,46.096798,1997,landsat
madagascar_1997_24,0,33.028618,30.146635,1997,landsat
madagascar_1997_27,0,71.24189,44.172573,1997,landsat
madagascar_1997_28,0,46.50519,48.688972,1997,landsat
madagascar_1997_31,0,38.43896,46.89223,1997,landsat
madagascar_1997_34,0,47.430805,36.848606,1997,landsat
madagascar_1997_35,0,45.973637,48.53034,1997,landsat
madagascar_1997_37,0,44.18297,31.254879,1997,landsat
madagascar_1997_44,0,40.798077,44.88756,1997,landsat
madagascar_1997_61,0,29.832138,20.85844,1997,landsat
madagascar_1997_64,0,11.84939,17.680735,1997,landsat
madagascar_1997_78,0,12.0710335,16.717613,1997,landsat
madagascar_1997_80,0,12.378126,18.809128,1997,landsat
madagascar_1997_102,0,11.520562,13.765256,1997,landsat
madagascar_1997_105,0,10.205248,15.317984,1997,landsat
madagascar_1997_116,0,10.793936,15.742874,1997,landsat
madagascar_1997_118,0,8.714252,16.219488,1997,landsat
madagascar_1997_120,0,10.584053,16.053234,1997,landsat
madagascar_1997_121,0,12.41152,18.50375,1997,landsat
madagascar_1997_123,0,36.56632,33.015568,1997,landsat
madagascar_1997_127,0,39.515354,42.533733,1997,landsat
madagascar_1997_128,0,12.973097,14.886314,1997,landsat
madagascar_1997_129,0,22.988617,14.380113,1997,landsat
madagascar_1997_131,0,13.222382,15.44827,1997,landsat
madagascar_1997_133,0,13.465709,16.08884,1997,landsat
madagascar_1997_136,0,13.793769,15.3424015,1997,landsat
madagascar_1997_139,0,11.925253,17.876114,1997,landsat
madagascar_1997_142,0,10.676536,13.379531,1997,landsat
madagascar_1997_169,0,26.906069,15.7462015,1997,landsat
madagascar_1997_178,0,8.375147,16.238234,1997,landsat
madagascar_1997_181,0,9.753796,15.911655,1997,landsat
madagascar_1997_183,0,9.199491,13.735355,1997,landsat
madagascar_1997_190,0,11.245006,12.578122,1997,landsat
madagascar_1997_193,0,8.507103,16.092478,1997,landsat
madagascar_1997_198,0,30.617008,25.057816,1997,landsat
madagascar_1997_214,0,10.198196,16.605337,1997,landsat
